text,created_at,score
Very sad that the FBI missed all of the many signals sent out by the Florida school shooter This is not acceptable They are spending too much time trying to prove Russian collusion with the Trump campaign  there is no collusion Get back to the basics and make us all proud,2018-02-18,528.8446743594341
Just watched a very insecure Oprah Winfrey who at one point I knew very well interview a panel of people on 60 Minutes The questions were biased and slanted the facts incorrect Hope Oprah runs so she can be exposed and defeated just like all of the others,2018-02-19,509.77579578324406
The US economy is looking very good in my opinion even better than anticipated Companies are pouring back into our country reversing the long term trend of leaving The unemployment numbers are looking great and Regulations amp Taxes have been massively Cut JOBS JOBS JOBS,2018-02-20,472.58648882031264
The GREAT Billy Graham is dead There was nobody like him He will be missed by Christians and all religions A very special man,2018-02-21,248.77919569409121
I will be strongly pushing Comprehensive Background Checks with an emphasis on Mental Health Raise age to 21 and end sale of Bump Stocks Congress is in a mood to finally do something on this issue  I hope,2018-02-22,378.9278080651071
MS13 gang members are being removed by our Great ICE and Border Patrol Agents by the thousands but these killers come back in from El Salvador and through Mexico like water El Salvador just takes our money and Mexico must help MORE with this problem We need The Wall,2018-02-23,482.1581869532732
BIG CPAC STRAW POLL RESULTS 93 APPROVE OF THE JOB PRESIDENT TRUMP IS DOING Thank you 50 say President Trump should Tweet MORE or SAME funny 79 say Republicans in Congress should do a better job of working with President Trump starting to happen,2018-02-24,452.7395609789104
“Congressman Schiff omitted and distorted key facts” FoxNews  So what else is new He is a total phony,2018-02-25,216.51610834999894
I want to encourage all of my many Texas friends to vote in the primary for Governor Greg Abbott Senator Ted Cruz Lt Gov Dan Patrick and Attorney General Ken Paxton They are helping me to Make America Great Again Vote early or on March 6th,2018-02-27,451.12249567365996
45 year low on illegal border crossings this year Ice and Border Patrol Agents are doing a great job for our Country MS13 thugs being hit hard,2018-02-28,278.57511408383004
Our Steel and Aluminum industries and many others have been decimated by decades of unfair trade and bad policy with countries from around the world We must not let our country companies and workers be taken advantage of any longer We want free fair and SMART TRADE,2018-03-01,469.3118870142126
Alec Baldwin whose dying mediocre career was saved by his terrible impersonation of me on SNL now says playing me was agony Alec it was agony for those who were forced to watch Bring back Darrell Hammond funnier and a far greater talent,2018-03-02,431.4403716203032
The United States has an 800 Billion Dollar Yearly Trade Deficit because of our “very stupid” trade deals and policies Our jobs and wealth are being given to other countries that have taken advantage of us for years They laugh at what fools our leaders have been No more,2018-03-03,475.09376491545635
The Gridiron Dinner last night was great fun I am accomplishing a lot in Washington and have never had a better time doing something and especially since this is for the American People,2018-03-04,351.7473330516385
Why did the Obama Administration start an investigation into the Trump Campaign with zero proof of wrongdoing long before the Election in November Wanted to discredit so Crooked H would win Unprecedented Bigger than Watergate Plus Obama did NOTHING about Russian meddling,2018-03-05,418.5434453147746
Lowest rated Oscars in HISTORY Problem is we don’t have Stars anymore  except your President just kidding of course,2018-03-06,206.4353450492846
From Bush 1 to present our Country has lost more than 55000 factories 6000000 manufacturing jobs and accumulated Trade Deficits of more than 12 Trillion Dollars Last year we had a Trade Deficit of almost 800 Billion Dollars Bad Policies amp Leadership Must WIN again  MAGA,2018-03-07,468.46951378301287
Looking forward to 330 PM meeting today at the White House We have to protect amp build our Steel and Aluminum Industries while at the same time showing great flexibility and cooperation toward those that are real friends  and treat us fairly on both trade and the military,2018-03-08,445.7910716714492
Kim Jong Un talked about denuclearization with the South Korean Representatives not just a freeze Also no missile testing by North Korea during this period of time Great progress being made but sanctions will remain until an agreement is reached Meeting being planned,2018-03-09,446.14781700268975
The deal with North Korea is very much in the making and will be if completed a very good one for the World Time and place to be determined,2018-03-10,300.57292022462997
Rasmussen and others have my approval ratings at around 50 which is higher than Obama and yet the political pundits love saying my approval ratings are “somewhat low” They know they are lying when they say it Turn off the show  FAKE NEWS,2018-03-11,424.8737821701981
Very strong improvement and strengthening of background checks will be fully backed by White House Legislation moving forward Bump Stocks will soon be out Highly trained expert teachers will be allowed to conceal carry subject to State Law Armed guards OK deterrent,2018-03-12,401.284449731162
THE HOUSE INTELLIGENCE COMMITTEE HAS AFTER A 14 MONTH LONG INDEPTH INVESTIGATION FOUND NO EVIDENCE OF COLLUSION OR COORDINATION BETWEEN THE TRUMP CAMPAIGN AND RUSSIA TO INFLUENCE THE 2016 PRESIDENTIAL ELECTION,2018-03-13,304.5723362349447
Hundreds of good people including very important Ambassadors and Judges are being blocked andor slow walked by the Democrats in the Senate Many important positions in Government are unfilled because of this obstruction Worst in US history,2018-03-14,409.9083526361578
Continuing to monitor the heartbreaking bridge collapse at FIU  so tragic Many brave First Responders rushed in to save lives Thank you for your courage Praying this evening for all who are affected,2018-03-15,388.0214723547296
Our thoughts and prayers go out to the families and loved ones of the brave troops lost in the helicopter crash on the IraqSyria border yesterday Their sacrifice in service to our country will never be forgotten,2018-03-16,405.42632207020364
Andrew McCabe FIRED a great day for the hard working men and women of the FBI  A great day for Democracy Sanctimonious James Comey was his boss and made McCabe look like a choirboy He knew all about the lies and corruption going on at the highest levels of the FBI,2018-03-17,547.1474129069372
Spent very little time with Andrew McCabe but he never took notes when he was with me I don’t believe he made memos except to help his own agenda probably at a later date Same with lying James Comey Can we call them Fake Memos,2018-03-18,471.1205438359443
A total WITCH HUNT with massive conflicts of interest,2018-03-19,100.91755643467191
Our Nation was founded by farmers Our independence was won by farmers And our continent was tamed by farmers Our farmers always lead the way  we are PROUD of them and we are DELIVERING for them NationalAgricultureDay,2018-03-20,412.71310581651045
AUSTIN BOMBING SUSPECT IS DEAD Great job by law enforcement and all concerned,2018-03-21,133.92426769123998
Crazy Joe Biden is trying to act like a tough guy Actually he is weak both mentally and physically and yet he threatens me for the second time with physical assault He doesn’t know me but he would go down fast and hard crying all the way Don’t threaten people Joe,2018-03-22,539.9770166506332
I am considering a VETO of the Omnibus Spending Bill based on the fact that the 800000 plus DACA recipients have been totally abandoned by the Democrats not even mentioned in Bill and the BORDER WALL which is desperately needed for our National Defense is not fully funded,2018-03-23,463.2328666887656
Our thoughts and prayers are with the victims of the horrible attack in France yesterday and we grieve the nation’s loss We also condemn the violent actions of the attacker and anyone who would provide him support We are with you EmmanuelMacron,2018-03-24,462.66476318075377
Because of the 700 amp 716 Billion Dollars gotten to rebuild our Military many jobs are created and our Military is again rich Building a great Border Wall with drugs poison and enemy combatants pouring into our Country is all about National Defense Build WALL through M,2018-03-25,466.89589320151003
So much Fake News Never been more voluminous or more inaccurate But through it all our country is doing great,2018-03-26,219.0237543378304
Trade talks going on with numerous countries that for many years have not treated the United States fairly In the end all will be happy,2018-03-27,243.6010837747721
THE SECOND AMENDMENT WILL NEVER BE REPEALED As much as Democrats would like to see this happen and despite the words yesterday of former Supreme Court Justice Stevens NO WAY We need more Republicans in 2018 and must ALWAYS hold the Supreme Court,2018-03-28,405.7902398025187
I have stated my concerns with Amazon long before the Election Unlike others they pay little or no taxes to state amp local governments use our Postal System as their Delivery Boy causing tremendous loss to the US and are putting many thousands of retailers out of business,2018-03-29,435.358151285741
Governor Jerry “Moonbeam” Brown pardoned 5 criminal illegal aliens whose crimes include 1 Kidnapping and Robbery 2 Badly beating wife and threatening a crime with intent to terrorize 3 Dealing drugs Is this really what the great people of California want FoxNews,2018-03-31,406.0392597471281
HAPPY EASTER,2018-04-01,35.859234161189825
DACA is dead because the Democrats didn’t care or act and now everyone wants to get onto the DACA bandwagon No longer works Must build Wall and secure our borders with proper Border legislation Democrats want No Borders hence drugs and crime,2018-04-02,428.92601461433526
39 of my nominations including Diplomats to foreign lands have not been confirmed due to Democrat obstruction and delay At this rate it would take more than 7 years before I am allowed to have these great people start working Never happened before Disgraceful,2018-04-03,438.789278544683
We are not in a trade war with China that war was lost many years ago by the foolish or incompetent people who represented the US Now we have a Trade Deficit of 500 Billion a year with Intellectual Property Theft of another 300 Billion We cannot let this continue,2018-04-04,486.64765843510776
The Fake News Washington Post Amazon’s “chief lobbyist” has another of many phony headlines “Trump Defiant As China Adds Trade Penalties” WRONG Should read “Trump Defiant as US Adds Trade Penalties Will End Barriers And Massive  IP Theft” Typically bad reporting,2018-04-05,414.81754607116915
“BET founder Trumps economy is bringing black workers back into the labor force” ,2018-04-06,143.02380970421956
Fire at Trump Tower is out Very confined well built building Firemen and women did a great job THANK YOU,2018-04-07,223.1297748337597
Many dead including women and children in mindless CHEMICAL attack in Syria Area of atrocity is in lockdown and encircled by Syrian Army making it completely inaccessible to outside world President Putin Russia and Iran are responsible for backing Animal Assad Big price,2018-04-08,493.4476651608532
When a car is sent to the United States from China there is a Tariff to be paid of 2 12 When a car is sent to China from the United States there is a Tariff to be paid of 25 Does that sound like free or fair trade  No it sounds like STUPID TRADE   going on for years,2018-04-09,576.4020517435799
A TOTAL WITCH HUNT,2018-04-10,50.326145683700425
Russia vows to shoot down any and all missiles fired at Syria Get ready Russia  because they will be coming nice and new and “smart” You shouldn’t be partners with a Gas Killing Animal who kills his people and enjoys it,2018-04-11,386.7591143370984
Never said when an attack on Syria would take place Could be very soon or not so soon at all In any event the United States under my Administration has done a great job of ridding the region of ISIS Where is our “Thank you America”,2018-04-12,440.58202078193386
untruthful slime ball who was as time has proven a terrible Director of the FBI His handling of the Crooked Hillary Clinton case and the events surrounding it will go down as one of the worst “botch jobs” of history It was my great honor to fire James Comey,2018-04-13,497.88737991695496
A perfectly executed strike last night Thank you to France and the United Kingdom for their wisdom and the power of their fine Military Could not have had a better result Mission Accomplished,2018-04-14,358.0928069510666
Just hit 50 in the Rasmussen Poll much higher than President Obama at same point With all of the phony stories and Fake News it’s hard to believe Thank you America we are doing Great Things,2018-04-15,402.89257211424433
Comey drafted the Crooked Hillary exoneration long before he talked to her lied in Congress to Senator G then based his decisions on her poll numbers Disgruntled he McCabe and the others committed many crimes,2018-04-16,373.9912583486167
Employment is up Taxes are DOWN Enjoy,2018-04-17,77.32727959333366
There is a Revolution going on in California Soooo many Sanctuary areas want OUT of this ridiculous crime infested amp breeding concept Jerry Brown is trying to back out of the National Guard at the Border but the people of the State are not happy Want Security amp Safety NOW,2018-04-18,505.28760331235975
Democrats are obstructing good hopefully great people wanting to give up a big portion of their life to work for our Government hence the American People They are “slow walking” all of my nominations  hundreds of people At this rate it would take 9 years for all approvals,2018-04-19,470.5805168590343
North Korea has agreed to suspend all Nuclear Tests and close up a major test site This is very good news for North Korea and the World  big progress Look forward to our Summit,2018-04-20,329.2041987142667
A message from Kim Jong Un “North Korea will stop nuclear tests and launches of intercontinental ballistic missiles”Also will “Shut down a nuclear test site in the country’s Northern Side to prove the vow to suspend nuclear tests” Progress being made for all,2018-04-21,421.56552692093277
Funny how all of the Pundits that couldn’t come close to making a deal on North Korea are now all over the place telling me how to make a deal,2018-04-22,320.9551515396498
Here’s a great stat  since January 2017 the number of people forced to use food stamps is down 19 million The American people are finally back to work,2018-04-23,293.07788409954674
Our two great republics are linked together by the timeless bonds of history culture and destiny We are people who cherish our values protect our civilization and recognize the image of God in every human soul ,2018-04-24,344.63856154084533
Thank you Kanye very cool ,2018-04-25,59.02192325437828
The US has put together a STRONG bid w Canada amp Mexico for the 2026 World Cup It would be a shame if countries that we always support were to lobby against the US bid Why should we be supporting these countries when they don’t support us including at the United Nations,2018-04-26,491.59268858060994
Kanye West has performed a great service to the Black Community  Big things are happening and eyes are being opened for the first time in Decades  Legacy Stuff Thank you also to Chance and Dr Darrell Scott they really get it lowest Black amp Hispanic unemployment in history,2018-04-27,475.0633477678981
Secret Service has just informed me that Senator Jon Tester’s statements on Admiral Jackson are not true There were no such findings A horrible thing that we in DC must live with just like phony Russian Collusion Tester should lose race in Montana Very dishonest and sick,2018-04-28,550.8795846550071
Just got recent Poll  much higher than President O at same timeWell much more has been accomplished,2018-04-29,186.84368888512188
I recently had a terrific meeting with a bipartisan group of freshman lawmakers who feel very strongly in favor of Congressional term limits I gave them my full support and endorsement for their efforts DrainTheSwamp,2018-04-30,388.33334419744546
It would seem very hard to obstruct justice for a crime that never happened Witch Hunt,2018-05-01,170.30638979015845
A Rigged System  They don’t want to turn over Documents to Congress What are they afraid of Why so much redacting Why such unequal “justice” At some point I will have no choice but to use the powers granted to the Presidency and get involved,2018-05-02,441.14987842824405
As everybody is aware the past Administration has long been asking for three hostages to be released from a North Korean Labor camp but to no avail Stay tuned,2018-05-03,269.39286165548145
JUST OUT 39 Unemployment 4 is Broken In the meantime WITCH HUNT,2018-05-04,121.16854694031716
Just returned home to the beautiful White House from Dallas where the Arena was packed to the rafters with the great fans and supporters of the NRA It was so wonderful to be there,2018-05-05,358.7486126195271
The United States does not need John Kerry’s possibly illegal Shadow Diplomacy on the very badly negotiated Iran Deal  He was the one that created this MESS in the first place,2018-05-07,312.49380867657226
John Kerry can’t get over the fact that he had his chance and blew it Stay away from negotiations John you are hurting your country,2018-05-08,280.52661810071385
I am pleased to inform you that Secretary of State Mike Pompeo is in the air and on his way back from North Korea with the 3 wonderful gentlemen that everyone is looking so forward to meeting They seem to be in good health Also good meeting with Kim Jong Un Date amp Place set,2018-05-09,530.5496674134824
Five Most Wanted leaders of ISIS just captured,2018-05-10,91.24194563168176
Big week next week when the American Embassy in Israel will be moved to Jerusalem Congratulations to all,2018-05-11,187.79392839663754
North Korea has announced that they will dismantle Nuclear Test Site this month ahead of the big Summit Meeting on June 12th Thank you a very smart and gracious gesture,2018-05-12,332.24171460993347
Happy Mother’s Day ,2018-05-13,59.20876704015671
Big day for Israel Congratulations,2018-05-14,59.86963539776965
Our great First Lady is doing really well Will be leaving hospital in 2 or 3 days Thank you for so much love and support,2018-05-15,280.69441131824357
Congratulations to Lou Barletta of Pennsylvania He will be a great Senator and will represent his people well  like they haven’t been represented in many years Lou is a friend of mine and a special guy he will very much help MAKE AMERICA GREAT AGAIN,2018-05-16,482.3189474612106
Despite the disgusting illegal and unwarranted Witch Hunt we have had the most successful first 17 month Administration in US history  by far Sorry to the Fake News Media and “Haters” but that’s the way it is,2018-05-17,369.95364872964086
Fake News Media had me calling Immigrants or Illegal Immigrants “Animals” Wrong They were begrudgingly forced to withdraw their stories I referred to MS 13 Gang Members as “Animals” a big difference  and so true Fake News got it purposely wrong as usual,2018-05-18,406.0725013617193
Great to have our incredible First Lady back home in the White House Melania is feeling and doing really well Thank you for all of your prayers and best wishes,2018-05-19,338.618470766206
I hereby demand and will do so officially tomorrow that the Department of Justice look into whether or not the FBIDOJ infiltrated or surveilled the Trump Campaign for Political Purposes  and if any such demands or requests were made by people within the Obama Administration,2018-05-20,483.3309372391494
“John Brennan is panicking He has disgraced himself he has disgraced the Country he has disgraced the entire Intelligence Community He is the one man who is largely responsible for the destruction of American’s faith in the Intelligence Community and in some people at the,2018-05-21,478.96612556231935
Today it was my great honor to welcome President Moon Jaein of the Republic of Korea to the WhiteHouse🇺🇸🇰🇷 ,2018-05-22,250.9023809936638
Look how things have turned around on the Criminal Deep State They go after Phony Collusion with Russia a made up Scam and end up getting caught in a major SPY scandal the likes of which this country may never have seen before What goes around comes around,2018-05-23,502.10820895458244
Not surprisingly the GREAT Men amp Women of the FBI are starting to speak out against Comey McCabe and all of the political corruption and poor leadership found within the top ranks of the FBI Comey was a terrible and corrupt leader who inflicted great pain on the FBI SPYGATE,2018-05-24,481.5487816510383
Funny to watch the Democrats criticize Trade Deals being negotiated by me when they don’t even know what the deals are and when for 8 years the Obama Administration did NOTHING on trade except let other countries rip off the United States Lost almost 800 Billionyear under “O”,2018-05-25,460.9303712505149
Thanks to very brave Teacher amp Hero Jason Seaman of Noblesville Indiana for his heroic act in saving so many precious young lives His quick and automatic action is being talked about all over the world,2018-05-26,399.48675980436064
Why didn’t President Obama do something about the socalled Russian Meddling when he was told about it by the FBI before the Election Because he thought Crooked Hillary was going to win and he didn’t want to upset the apple cart He was in charge not me and did nothing,2018-05-27,518.2879410888797
Happy Memorial Day Those who died for our great country would be very happy and proud at how well our country is doing today Best economy in decades lowest unemployment numbers for Blacks and Hispanics EVER amp women in 18years rebuilding our Military and so much more Nice,2018-05-28,503.7661743924265
The Fake Mainstream Media has from the time I announced I was running for President run the most highly sophisticated amp dishonest Disinformation Campaign in the history of politics No matter how well WE do they find fault But the forgotten men amp women WON I’m President,2018-05-29,451.9206632236942
Bob Iger of ABC called Valerie Jarrett to let her know that “ABC does not tolerate comments like those” made by Roseanne Barr Gee he never called President Donald J Trump to apologize for the HORRIBLE statements made and said about me on ABC Maybe I just didn’t get the call,2018-05-30,467.53011100086593
Will be giving a Full Pardon to Dinesh D’Souza today He was treated very unfairly by our government,2018-05-31,212.24188017162365
Why aren’t they firing no talent Samantha Bee for the horrible language used on her low ratings show A total double standard but that’s OK we are Winning and will be doing so for a long time to come,2018-06-01,409.6787440320726
When you’re almost 800 Billion Dollars a year down on Trade you can’t lose a Trade War The US has been ripped off by other countries for years on Trade time to get smart,2018-06-02,355.9401133286749
Jesse Watters “The only thing Trump obstructed was Hillary getting to the White House”  So true,2018-06-03,181.90750795302594
This is my 500th Day in Office and we have accomplished a lot  many believe more than any President in his first 500 days Massive Tax amp Regulation Cuts Military amp Vets Lower Crime amp Illegal Immigration Stronger Borders Judgeships Best Economy amp Jobs EVER and much more,2018-06-04,483.538112254996
The Philadelphia Eagles Football Team was invited to the White House Unfortunately only a small number of players decided to come and we canceled the event Staying in the Locker Room for the playing of our National Anthem is as disrespectful to our country as kneeling Sorry,2018-06-05,487.5480139557712
The Fake News Media has been so unfair and vicious to my wife and our great First Lady Melania During her recovery from surgery they reported everything from near death to facelift to left the WH and me for NY or Virginia to abuse All Fake she is doing really well,2018-06-06,494.08327013789483
Prime Minister Trudeau is being so indignant bringing up the relationship that the US and Canada had over the many years and all sorts of other thingsbut he doesn’t bring up the fact that they charge us up to 300 on dairy — hurting our Farmers killing our Agriculture,2018-06-07,478.6107844315244
Obama Schumer and Pelosi did NOTHING about North Korea and now weak on Crime High Tax Schumer is telling me what to do at the Summit the Dems could never set up Schumer failed with North Korea and Iran we don’t need his advice,2018-06-08,507.05155099777807
Based on Justin’s false statements at his news conference and the fact that Canada is charging massive Tariffs to our US farmers workers and companies I have instructed our US Reps not to endorse the Communique as we look at Tariffs on automobiles flooding the US Market,2018-06-09,481.8103102668673
Sorry we cannot let our friends or enemies take advantage of us on Trade anymore We must put the American worker first,2018-06-11,213.88249261288917
Robert De Niro a very Low IQ individual has received to many shots to the head by real boxers in movies I watched him last night and truly believe he may be “punchdrunk” I guess he doesn’t,2018-06-12,361.2517115433808
So funny to watch the Fake News especially NBC and CNN They are fighting hard to downplay the deal with North Korea 500 days ago they would have “begged” for this deallooked like war would break out Our Country’s biggest enemy is the Fake News so easily promulgated by fools,2018-06-13,518.2704784082866
So the Democrats make up a phony crime Collusion with the Russians pay a fortune to make the crime sound real illegally leak Comey classified information so that a Special Councel will be appointed and then Collude to make this pile of garbage take on life in Fake News,2018-06-14,541.5339669047784
USA Jobs numbers are the BEST in 44 years If my opponent the Democrats had won the election they would have raised taxes substantially and increased regulations  the economy and jobs would have been a disaster,2018-06-15,348.92144366234663
“I REALLY DON’T CARE DO U” written on the back of Melania’s jacket refers to the Fake News Media Melania has learned how dishonest they are and she truly no longer cares,2018-06-21,354.37253440815465
We must maintain a Strong Southern Border We cannot allow our Country to be overrun by illegal immigrants as the Democrats tell their phony stories of sadness and grief hoping it will help them in the elections Obama and others had the same pictures and did nothing about it,2018-06-22,453.5226672206041
It’s very sad that Nancy Pelosi and her sidekick Cryin’ Chuck Schumer want to protect illegal immigrants far more than the citizens of our country The United States cannot stand for this We wants safety and security at our borders,2018-06-23,420.19861151765014
Democrats fix the laws Don’t RESIST We are doing a far better job than Bush and Obama but we need strength and security at the Border Cannot accept all of the people trying to break into our Country Strong Borders No Crime,2018-06-24,403.69930273156683
Congresswoman Maxine Waters an extraordinarily low IQ person has become together with Nancy Pelosi the Face of the Democrat Party She has just called for harm to supporters of which there are many of the Make America Great Again movement Be careful what you wish for Max,2018-06-25,472.9128705163057
SUPREME COURT UPHOLDS TRUMP TRAVEL BAN Wow,2018-06-26,97.45270063336605
Congratulations to Maxine Waters whose crazy rants have made her together with Nancy Pelosi the unhinged FACE of the Democrat Party Together they will Make America Weak Again But have no fear America is now stronger than ever before and I’m not going anywhere,2018-06-27,473.35878259746045
Today we broke ground on a plant that will provide jobs for up to 15000 Wisconsin Workers As Foxconn has discovered there is no better place to build hire and grow than right here in the United States ,2018-06-28,385.5467688915065
Six months after our TAX CUTS more than 6 MILLION workers have received bonuses pay raises and retirement account contributionsTaxCutsandJobsAct ,2018-06-29,255.13064693154107
Just spoke to King Salman of Saudi Arabia and explained to him that because of the turmoil amp disfunction in Iran and Venezuela I am asking that Saudi Arabia increase oil production maybe up to 2000000 barrels to make up the differencePrices to high He has agreed,2018-06-30,522.3187045566699
The Liberal Left also known as the Democrats want to get rid of ICE who do a fantastic job and want Open Borders Crime would be rampant and uncontrollable Make America Great Again,2018-07-01,383.0277186636374
Congratulations to Andres Manuel Lopez Obrador on becoming the next President of Mexico I look very much forward to working with him There is much to be done that will benefit both the United States and Mexico,2018-07-02,399.8255307677351
Many Democrats are deeply concerned about the fact that their “leadership” wants to denounce and abandon the great men and women of ICE thereby declaring war on Law amp Order These people will be voting for Republicans in November and in many cases joining the Republican Party,2018-07-03,429.425555035152
Happy Fourth of JulyOur Country is doing GREAT,2018-07-04,95.7880568567249
Happy Birthday America ,2018-07-05,46.759474370325805
Just won lawsuit filed by the DNC and a bunch of Democrat crazies trying to claim the Trump Campaign and others colluded with Russia They haven’t figured out that this was an excuse for them losing the election,2018-07-06,420.3574427062866
